ALFAM01;2004-01-01;A;;alfam01;alfam01;ALFAM01: Server voor Peoplesoft (PSPROD)
ALFAM02;2004-01-01;A;;alfam02;alfam02;ALFAM02: Server voor Peoplesoft (PSAPPL)
ALFAM03;2004-01-01;A;;alfam03;alfam03;ALFAM03: Server voor Exact
ALFAM04;2004-01-01;A;;alfam04;alfam04;ALFAM04: Server voor Topdesk
ALFAM05;2004-01-01;A;;alfam05;alfam05;ALFAM05: Server voor Peoplesoft (PSPRODB)
ALFAM06;2004-01-01;A;;alfam06;alfam06;ALFAM06: Server voor Peoplesoft (PSPROAPP)
ALFAM07;2004-01-01;A;;alfam07;alfam07;ALFAM07: Test server voor Topdesk (TOPTEST)
ALFAM08;2004-01-01;A;;alfam08;alfam08;ALFAM08: Server voor Peoplesoft (PSTSTDB)
ALFAM09;2004-01-01;A;;alfam09;alfam09;ALFAM09: Server voor Peoplesoft (PSTSTAPP)
